GeneID	Iso	ENSID	Symbol	Des
1537	1.1	ENSG00000179091	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]
6390	2.1	ENSG00000117118	SDHB	succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681]
10229	3.1	ENSG00000167186	COQ7	"coenzyme Q7, hydroxylase [Source:HGNC Symbol;Acc:HGNC:2244]"
6389	4.1	ENSG00000073578	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]
7384	5.1	ENSG00000010256	UQCRC1	ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:HGNC:12585]
84274	6.1	ENSG00000110871	COQ5	"coenzyme Q5, methyltransferase [Source:HGNC Symbol;Acc:HGNC:28722]"
5160	7.1	ENSG00000131828	PDHA1	pyruvate dehydrogenase alpha 1 [Source:HGNC Symbol;Acc:HGNC:8806]
57017	8.1	ENSG00000088682	COQ9	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]
6182	9.1	ENSG00000262814	MRPL12	mitochondrial ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10378]
513	10.1	ENSG00000099624	ATP5D	"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit [Source:HGNC Symbol;Acc:HGNC:837]"
9377	11.1	ENSG00000178741	COX5A	cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267]
122961	12.1	ENSG00000165898	ISCA2	iron-sulfur cluster assembly 2 [Source:HGNC Symbol;Acc:HGNC:19857]
9512	13.1	ENSG00000105819	PMPCB	"peptidase, mitochondrial processing beta subunit [Source:HGNC Symbol;Acc:HGNC:9119]"
7386	14.1	ENSG00000169021	UQCRFS1	"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:12587]"
498	15.1	ENSG00000152234	ATP5A1	"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle [Source:HGNC Symbol;Acc:HGNC:823]"
4967	16.1	ENSG00000105953	OGDH	oxoglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8124]
5162	17.1	ENSG00000168291	PDHB	pyruvate dehydrogenase (lipoamide) beta [Source:HGNC Symbol;Acc:HGNC:8808]
7385	18.1	ENSG00000140740	UQCRC2	ubiquinol-cytochrome c reductase core protein II [Source:HGNC Symbol;Acc:HGNC:12586]
6392	19.1	ENSG00000204370	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]
60488	20.1	ENSG00000061794	MRPS35	mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]
27089	21.1	ENSG00000164405	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]
116540	22.1	ENSG00000204822	MRPL53	mitochondrial ribosomal protein L53 [Source:HGNC Symbol;Acc:HGNC:16684]
1629	23.1	ENSG00000137992	DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]
5166	24.1	ENSG00000004799	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]
4191	25.1	ENSG00000146701	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]
23107	26.1	ENSG00000113048	MRPS27	mitochondrial ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:14512]
1431	27.1	ENSG00000062485	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]
80273	28.1	ENSG00000109519	GRPEL1	"GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]"
1737	29.1	ENSG00000150768	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]
10128	30.1	ENSG00000138095	LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]
1743	31.1	ENSG00000119689	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]
8050	32.1	ENSG00000110435	PDHX	pyruvate dehydrogenase complex component X [Source:HGNC Symbol;Acc:HGNC:21350]
