"","BRCA","COAD","HNSC","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"AFG3L2",0.0706605222734255,0.0998463901689708,0.207373271889401,0.49615975422427,0.705069124423963,0.276497695852535,0.043010752688172,0.0952380952380952,0.350230414746544,0.254992319508449,0.572964669738863,0.517665130568356
"CLPP",0.476618705035971,0.491007194244604,0.694244604316547,0.404676258992806,0.64568345323741,0.296762589928058,0.25,0.192446043165468,0.723021582733813,0.476618705035971,0.683453237410072,0.285971223021583
"CLPX",0.120582120582121,0.295218295218295,0.027027027027027,0.623700623700624,0.769230769230769,0.338877338877339,0.0769230769230769,0.0395010395010395,0.53014553014553,0.293139293139293,0.347193347193347,0.650727650727651
"DNAJA3",0.0467289719626168,0.316421895861148,0.280373831775701,0.38584779706275,0.556742323097463,0.190921228304406,0.0827770360480641,0.129506008010681,0.240320427236315,0.335113484646195,0.451268357810414,0.21762349799733
"DNAJC19",0.0559085133418043,0.326556543837357,0.675984752223634,0.224904701397713,0.290978398983482,0.0698856416772554,0.0648030495552732,0.329097839898348,0.302414231257942,0.241423125794155,0.678526048284625,0.269377382465057
"GRPEL2",0.0654952076677316,0.378594249201278,0.0143769968051118,0.0926517571884984,0.282747603833866,0.412140575079872,0.0702875399361022,0.182108626198083,0.338658146964856,0.222044728434505,0.365814696485623,0.469648562300319
"HSCB",0.0675675675675676,0.224662162162162,0.756756756756757,0.153716216216216,0.515202702702703,0.20777027027027,0.199324324324324,0.111486486486486,0.577702702702703,0.1875,0.596283783783784,0.106418918918919
"HSPA9",0.10031847133758,0.32484076433121,0.207006369426752,0.439490445859873,0.614649681528662,0.0843949044585987,0.0859872611464968,0.103503184713376,0.372611464968153,0.515923566878981,0.426751592356688,0.525477707006369
"HSPD1",0.164978292329957,0.38205499276411,0.37192474674385,0.337192474674385,0.570188133140376,0.21273516642547,0.308248914616498,0.199710564399421,0.293777134587554,0.554269175108538,0.192474674384949,0.479015918958032
"HSPE1",0.236842105263158,0.375730994152047,0.70906432748538,0.421052631578947,0.577485380116959,0.309941520467836,0.464912280701754,0.387426900584795,0.470760233918129,0.565789473684211,0.488304093567251,0.326023391812865
"HTRA2",0.208869814020029,0.151645207439199,0.470672389127325,0.0815450643776824,0.406294706723891,0.34620886981402,0.1931330472103,0.0758226037195994,0.260371959942775,0.190271816881259,0.356223175965665,0.184549356223176
"LONP1",0.326699834162521,0.30514096185738,0.373134328358209,0.190713101160862,0.514096185737977,0.0646766169154229,0.124378109452736,0.087893864013267,0.577114427860697,0.285240464344942,0.237147595356551,0.255389718076285
"SPG7",0.153589315525876,0.140233722871452,0.287145242070117,0.265442404006678,0.514190317195326,0.0383973288814691,0.165275459098498,0.101836393989983,0.202003338898164,0.0467445742904841,0.736227045075125,0.0834724540901502
"TRAP1",0.0642458100558659,0.332402234636872,0.290502793296089,0.35195530726257,0.596368715083799,0.149441340782123,0.100558659217877,0.134078212290503,0.220670391061453,0.407821229050279,0.18854748603352,0.187150837988827
"YME1L1",0.136563876651982,0.350220264317181,0.16079295154185,0.541850220264317,0.634361233480176,0.524229074889868,0.169603524229075,0.0176211453744493,0.519823788546256,0.222466960352423,0.502202643171806,0.680616740088106
