"","BRCA","COAD","HNSC","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"AFG3L2",0.0402449693788276,0.0568678915135608,0.118110236220472,0.282589676290464,0.401574803149606,0.15748031496063,0.0244969378827647,0.0542432195975503,0.199475065616798,0.145231846019248,0.326334208223972,0.294838145231846
"CLPP",0.231846019247594,0.238845144356955,0.337707786526684,0.196850393700787,0.31408573928259,0.144356955380577,0.121609798775153,0.0936132983377078,0.351706036745407,0.231846019247594,0.332458442694663,0.139107611548556
"CLPX",0.0507436570428696,0.124234470691164,0.0113735783027122,0.26246719160105,0.323709536307962,0.142607174103237,0.0323709536307962,0.0166229221347332,0.223097112860892,0.123359580052493,0.146106736657918,0.273840769903762
"DNAJA3",0.0306211723534558,0.207349081364829,0.183727034120735,0.252843394575678,0.364829396325459,0.125109361329834,0.0542432195975503,0.0848643919510061,0.15748031496063,0.219597550306212,0.295713035870516,0.142607174103237
"DNAJC19",0.0384951881014873,0.224846894138233,0.465441819772528,0.154855643044619,0.200349956255468,0.0481189851268591,0.0446194225721785,0.226596675415573,0.2082239720035,0.166229221347332,0.467191601049869,0.185476815398075
"GRPEL2",0.0358705161854768,0.207349081364829,0.0078740157480315,0.0507436570428696,0.154855643044619,0.225721784776903,0.0384951881014873,0.0997375328083989,0.185476815398075,0.121609798775153,0.200349956255468,0.257217847769029
"HSCB",0.0349956255468067,0.116360454943132,0.391951006124234,0.0796150481189851,0.266841644794401,0.10761154855643,0.10323709536308,0.057742782152231,0.299212598425197,0.0971128608923885,0.308836395450569,0.0551181102362205
"HSPA9",0.0551181102362205,0.178477690288714,0.113735783027122,0.241469816272966,0.337707786526684,0.0463692038495188,0.047244094488189,0.0568678915135608,0.204724409448819,0.283464566929134,0.234470691163605,0.288713910761155
"HSPD1",0.0997375328083989,0.230971128608924,0.224846894138233,0.203849518810149,0.344706911636045,0.128608923884514,0.186351706036745,0.120734908136483,0.177602799650044,0.335083114610674,0.116360454943132,0.289588801399825
"HSPE1",0.141732283464567,0.224846894138233,0.424321959755031,0.251968503937008,0.345581802274716,0.185476815398075,0.278215223097113,0.231846019247594,0.281714785651794,0.338582677165354,0.292213473315836,0.195100612423447
"HTRA2",0.127734033245844,0.0927384076990376,0.287839020122485,0.0498687664041995,0.248468941382327,0.21172353455818,0.118110236220472,0.0463692038495188,0.15923009623797,0.116360454943132,0.217847769028871,0.112860892388451
"LONP1",0.172353455818023,0.160979877515311,0.196850393700787,0.100612423447069,0.271216097987752,0.0341207349081365,0.0656167979002625,0.0463692038495188,0.304461942257218,0.150481189851269,0.125109361329834,0.134733158355206
"SPG7",0.0804899387576553,0.073490813648294,0.150481189851269,0.139107611548556,0.269466316710411,0.0201224846894138,0.0866141732283465,0.0533683289588801,0.10586176727909,0.0244969378827647,0.385826771653543,0.0437445319335083
"TRAP1",0.0402449693788276,0.2082239720035,0.181977252843395,0.220472440944882,0.373578302712161,0.0936132983377078,0.062992125984252,0.083989501312336,0.138232720909886,0.255468066491689,0.118110236220472,0.117235345581802
"YME1L1",0.0542432195975503,0.139107611548556,0.0638670166229221,0.215223097112861,0.251968503937008,0.2082239720035,0.0673665791776028,0.00699912510936133,0.206474190726159,0.0883639545056868,0.199475065616798,0.270341207349081
