"","chap","shuff_mean","shuff_sd","obs_mean","obs_sd","z","signif"
"1","HSPA9",0.107040913288886,0.00215766234777746,0.2545550826356,0.12330622893611,68.3675874951722,"above"
"2","HSPD1",0.147752580936132,0.00289585834578123,0.312832557144495,0.0843599639889558,57.0055425704288,"above"
"3","HSPE1",0.202809078390586,0.00282405859839754,0.444797324523248,0.0840082255571705,85.6881108168134,"above"
"4","SPG7",0.0636884510914425,0.00238567273942056,0.220790625330737,0.108275122591845,65.8523575523823,"above"
"5","CLPP",0.165133121060945,0.00251244101350605,0.448797998654433,0.131532692061431,112.904094491612,"above"
"6","DNAJA3",0.114195893095934,0.00218326683460192,0.205758227212564,0.107076765086005,41.9382242543544,"above"
"7","LONP1",0.0959538726135387,0.00240478013063407,0.245570802961537,0.102852252175769,62.2164697895057,"above"
"8","TRAP1",0.101852224708027,0.00251870325697646,0.206677191417355,0.0878749696218258,41.618625147277,"above"
"9","YME1L1",0.0886659920915382,0.00218804416881067,0.317127036694273,0.180999228790208,104.413360506756,"above"
"10","CLPX",0.0791545413659042,0.00204334609010944,0.239053765305099,0.174969390396592,78.2536177856341,"above"
"11","AFG3L2",0.0992524829974895,0.00230869713571397,0.224483141269202,0.135942178131946,54.242999800398,"above"
"12","HTRA2",0.099376568853676,0.00287989012872431,0.186158692412241,0.0748943595482412,30.1338313892574,"above"
"13","DNAJC19",0.122199324804906,0.00246114701990787,0.220484028106604,0.121294340651997,39.9345112285802,"above"
"14","GRPEL2",0.0785770480161891,0.00238985440195872,0.168697079879827,0.124440109992253,37.7094235488891,"above"
"15","HSCB",0.0922736984932153,0.00264505990409201,0.243094900375406,0.12788770493115,57.0199569578232,"above"
