"Var1","Var2","value","cancer"
"HSCB","DNAJC19",0.00349956255468067,"BRCA"
"SPG7","DNAJC19",0,"BRCA"
"HTRA2","DNAJC19",0.0026246719160105,"BRCA"
"CLPP","DNAJC19",0.0139982502187227,"BRCA"
"LONP1","DNAJC19",0.00349956255468067,"BRCA"
"AFG3L2","DNAJC19",0,"BRCA"
"YME1L1","DNAJC19",0,"BRCA"
"CLPX","DNAJC19",0,"BRCA"
"HSPA9","DNAJC19",0.00174978127734033,"BRCA"
"GRPEL2","DNAJC19",0,"BRCA"
"HSPD1","DNAJC19",0,"BRCA"
"HSPE1","DNAJC19",0.0078740157480315,"BRCA"
"DNAJA3","DNAJC19",0.00174978127734033,"BRCA"
"TRAP1","DNAJC19",0.000874890638670166,"BRCA"
"SPG7","HSCB",0.00349956255468067,"BRCA"
"HTRA2","HSCB",0.0078740157480315,"BRCA"
"CLPP","HSCB",0.0253718285214348,"BRCA"
"LONP1","HSCB",0.0166229221347332,"BRCA"
"AFG3L2","HSCB",0,"BRCA"
"YME1L1","HSCB",0,"BRCA"
"CLPX","HSCB",0,"BRCA"
"HSPA9","HSCB",0,"BRCA"
"GRPEL2","HSCB",0,"BRCA"
"HSPD1","HSCB",0,"BRCA"
"HSPE1","HSCB",0.0026246719160105,"BRCA"
"DNAJA3","HSCB",0,"BRCA"
"TRAP1","HSCB",0,"BRCA"
"HTRA2","SPG7",0.0507436570428696,"BRCA"
"CLPP","SPG7",0.0568678915135608,"BRCA"
"LONP1","SPG7",0.0621172353455818,"BRCA"
"AFG3L2","SPG7",0.000874890638670166,"BRCA"
"YME1L1","SPG7",0,"BRCA"
"CLPX","SPG7",0,"BRCA"
"HSPA9","SPG7",0,"BRCA"
"GRPEL2","SPG7",0,"BRCA"
"HSPD1","SPG7",0.000874890638670166,"BRCA"
"HSPE1","SPG7",0.005249343832021,"BRCA"
"DNAJA3","SPG7",0.00174978127734033,"BRCA"
