"num_removed","cancer","prop_remain","prop_removed","run_name","under_curve","y_txt"
0,"BRCA",1,0,"by_module_21",0.716944516269978,0.16
1,"BRCA",0.969594594594595,0.0666666666666667,"by_module_21",0.716944516269978,0.16
2,"BRCA",0.939189189189189,0.133333333333333,"by_module_21",0.716944516269978,0.16
3,"BRCA",0.913851351351351,0.2,"by_module_21",0.716944516269978,0.16
4,"BRCA",0.856418918918919,0.266666666666667,"by_module_21",0.716944516269978,0.16
5,"BRCA",0.810810810810811,0.333333333333333,"by_module_21",0.716944516269978,0.16
6,"BRCA",0.790540540540541,0.4,"by_module_21",0.716944516269978,0.16
7,"BRCA",0.726351351351351,0.466666666666667,"by_module_21",0.716944516269978,0.16
8,"BRCA",0.702702702702703,0.533333333333333,"by_module_21",0.716944516269978,0.16
9,"BRCA",0.658783783783784,0.6,"by_module_21",0.716944516269978,0.16
10,"BRCA",0.619932432432432,0.666666666666667,"by_module_21",0.716944516269978,0.16
11,"BRCA",0.420608108108108,0.733333333333333,"by_module_21",0.716944516269978,0.16
12,"BRCA",0.283783783783784,0.8,"by_module_21",0.716944516269978,0.16
13,"BRCA",0.135135135135135,0.866666666666667,"by_module_21",0.716944516269978,0.16
14,"BRCA",0.0675675675675675,0.933333333333333,"by_module_21",0.716944516269978,0.16
15,"BRCA",0,1,"by_module_21",0.716944516269978,0.16
0,"COAD",1,0,"by_module_21",0.769583642876769,0.16
1,"COAD",0.993189557321226,0.0666666666666667,"by_module_21",0.769583642876769,0.16
2,"COAD",0.99205448354143,0.133333333333333,"by_module_21",0.769583642876769,0.16
3,"COAD",0.970488081725312,0.2,"by_module_21",0.769583642876769,0.16
4,"COAD",0.960272417707151,0.266666666666667,"by_module_21",0.769583642876769,0.16
5,"COAD",0.937570942111237,0.333333333333333,"by_module_21",0.769583642876769,0.16
6,"COAD",0.906923950056754,0.4,"by_module_21",0.769583642876769,0.16
7,"COAD",0.852440408626561,0.466666666666667,"by_module_21",0.769583642876769,0.16
8,"COAD",0.800227014755959,0.533333333333333,"by_module_21",0.769583642876769,0.16
9,"COAD",0.7105561861521,0.6,"by_module_21",0.769583642876769,0.16
10,"COAD",0.617480136208854,0.666666666666667,"by_module_21",0.769583642876769,0.16
11,"COAD",0.438138479001135,0.733333333333333,"by_module_21",0.769583642876769,0.16
12,"COAD",0.341657207718502,0.8,"by_module_21",0.769583642876769,0.16
13,"COAD",0.203178206583428,0.866666666666667,"by_module_21",0.769583642876769,0.16
14,"COAD",0.0953461975028377,0.933333333333333,"by_module_21",0.769583642876769,0.16
15,"COAD",0,1,"by_module_21",0.769583642876769,0.16
0,"HNSC",1,0,"by_module_21",0.7714682485826,0.16
1,"HNSC",0.993849938499385,0.0666666666666667,"by_module_21",0.7714682485826,0.16
2,"HNSC",0.985239852398524,0.133333333333333,"by_module_21",0.7714682485826,0.16
3,"HNSC",0.980319803198032,0.2,"by_module_21",0.7714682485826,0.16
4,"HNSC",0.961869618696187,0.266666666666667,"by_module_21",0.7714682485826,0.16
5,"HNSC",0.923739237392374,0.333333333333333,"by_module_21",0.7714682485826,0.16
6,"HNSC",0.865928659286593,0.4,"by_module_21",0.7714682485826,0.16
7,"HNSC",0.853628536285363,0.466666666666667,"by_module_21",0.7714682485826,0.16
8,"HNSC",0.843788437884379,0.533333333333333,"by_module_21",0.7714682485826,0.16
9,"HNSC",0.757687576875769,0.6,"by_module_21",0.7714682485826,0.16
10,"HNSC",0.724477244772448,0.666666666666667,"by_module_21",0.7714682485826,0.16
11,"HNSC",0.688806888068881,0.733333333333333,"by_module_21",0.7714682485826,0.16
12,"HNSC",0.574415744157442,0.8,"by_module_21",0.7714682485826,0.16
13,"HNSC",0.382533825338253,0.866666666666667,"by_module_21",0.7714682485826,0.16
14,"HNSC",0.211562115621156,0.933333333333333,"by_module_21",0.7714682485826,0.16
15,"HNSC",0,1,"by_module_21",0.7714682485826,0.16
0,"KIRC",1,0,"by_module_21",0.736693475343207,0.16
1,"KIRC",0.994786235662148,0.0666666666666667,"by_module_21",0.736693475343207,0.16
2,"KIRC",0.976016684045881,0.133333333333333,"by_module_21",0.736693475343207,0.16
3,"KIRC",0.964546402502607,0.2,"by_module_21",0.736693475343207,0.16
4,"KIRC",0.956204379562044,0.266666666666667,"by_module_21",0.736693475343207,0.16
5,"KIRC",0.923879040667362,0.333333333333333,"by_module_21",0.736693475343207,0.16
6,"KIRC",0.805005213764338,0.4,"by_module_21",0.736693475343207,0.16
