"Chap","Prot","DB","evidence","weight"
"HSPA9","CYC1","local","coexpression",1
"HSPA9","SDHB","local","coexpression",1
"HSPA9","COQ7","local","coexpression",1
"HSPA9","SDHA","local","coexpression",1
"HSPA9","UQCRC1","local","coexpression",1
"HSPA9","COQ5","local","coexpression",1
"HSPA9","PDHA1","local","coexpression",1
"HSPA9","COQ9","local","coexpression",1
"HSPA9","MRPL12","local","coexpression",1
"HSPA9","COX5A","local","coexpression",1
"HSPA9","ISCA2","local","coexpression",1
"HSPA9","PMPCB","local","coexpression",1
"HSPA9","UQCRFS1","local","coexpression",1
"HSPA9","ATP5A1","local","coexpression",1
"HSPA9","OGDH","local","coexpression",1
"HSPA9","PDHB","local","coexpression",1
"HSPA9","UQCRC2","local","coexpression",1
"HSPA9","SDHD","local","coexpression",1
"HSPA9","MRPS35","local","coexpression",1
"HSPA9","DBT","local","coexpression",1
"HSPA9","MDH2","local","coexpression",1
"HSPA9","MRPS27","local","coexpression",1
"HSPA9","CS","local","coexpression",1
"HSPA9","GRPEL1","local","coexpression",1
"HSPA9","DLAT","local","coexpression",1
"HSPA9","LRPPRC","local","coexpression",1
"HSPA9","DLST","local","coexpression",1
"HSPA9","PDHX","local","coexpression",1
"HSPA9","GFM1","local","coexpression",1
"HSPA9","MPC2","local","coexpression",1
"HSPA9","NDUFS1","local","coexpression",1
"HSPA9","MRPL46","local","coexpression",1
"HSPA9","SLC25A3","local","coexpression",1
"HSPA9","MRPS23","local","coexpression",1
"HSPA9","FH","local","coexpression",1
"HSPA9","PMPCA","local","coexpression",1
"HSPA9","ATP5B","local","coexpression",1
"HSPA9","ISCA1","local","coexpression",1
"HSPA9","SUCLA2","local","coexpression",1
"HSPA9","COQ3","local","coexpression",1
"HSPA9","IARS2","local","coexpression",1
"HSPA9","MRPS15","local","coexpression",1
"HSPA9","IDH3A","local","coexpression",1
"HSPA9","COX11","local","coexpression",1
"HSPA9","ETFDH","local","coexpression",1
"HSPA9","TIMM10","local","coexpression",1
"HSPA9","BCKDHA","local","coexpression",1
"HSPA9","UQCRH","local","coexpression",1
"HSPA9","ATP5O","local","coexpression",1
"HSPA9","ECHS1","local","coexpression",1
"HSPA9","COX15","local","coexpression",1
"HSPA9","HADHA","local","coexpression",1
"HSPA9","ETFA","local","coexpression",1
"HSPA9","CPT2","local","coexpression",1
"HSPA9","BCKDHB","local","coexpression",1
"HSPA9","LARS2","local","coexpression",1
"HSPA9","ACADS","local","coexpression",1
"HSPA9","LETM1","local","coexpression",1
"HSPA9","OPA1","local","coexpression",1
"HSPA9","AUH","local","coexpression",1
"HSPA9","SUCLG1","local","coexpression",1
"HSPA9","ABHD11","local","coexpression",1
"HSPA9","ATP5J","local","coexpression",1
"HSPA9","DLD","local","coexpression",1
"HSPA9","AIFM1","local","coexpression",1
